ParlaMint-IS_2022-03-03-46.u1	To answer, financial and economic ministers, infrastructure and social and workforce ministers.
ParlaMint-IS_2022-03-03-46.u52	A respectable president. Last year, the increasing numbers of the Federal Bank were only a small part of consumers. The wisdom of banks on unconvinced housing loans is usually about one third higher than that of the Federal Bank, but when the Marine Bank went down to 0.75% they were more than four times higher. Thus, only a small amount of consumers gained this reduction. These reductions still owe consumers to banks, who make full use of the growth of steering growth. Today, as a result of a pandemic, there is a global war that will have its own effect. Inflation is not due to an event at home but to a small extent. Because there is inflation all over the world, it must be handled on that basis. The way that has always been done to make this work is to increase the basic growth of the World Bank, and so is today. But if inflation is largely due to outside influence, how should a higher law be applied in homes and businesses? The only thing higher growth is to increase the difficulties of homes and companies, which are often sufficient for, including. Because of a pandemic and its consequences. The situation is difficult around the world for Covid, and the world's production and transport lines, the so - called high chain of value, have increased the cost of transport to the country as well as the price of various products. A higher curse in Icelandic homes will have no effect on this trend. On the contrary, even now there should be no more damage to the Covid epidemic than there have been in many countries where income losses have been lost and there has been a poor increase in the number of penalties due to growth increases that are questionable to bear the desired results. The largest budget for most households is the cost of housing and the second, the cost of food. If both sides rise because of external inflation, who will help? For some families, monthly housing costs - whether credit or rent - are up to 60% of the budget. This is often the case with low - priced families. [[The president calls.]] Each percentage of them to increase the cost of housing can be separated from unpredicted persons. [[The president calls.]]
ParlaMint-IS_2022-03-03-46.u53	A respectable president. The advocate of this discussion points to the collapse, wondering what lesson the present government intends to learn from that time in the light of the direction of changing growth. In this context, it is important to keep in mind that the reduction in driving growth occurred just as part of the government's economic activities after Covid and now that they were pre-pandemic, like the highest level. The financial and economic ministers came in in in their history. A low-growing environment affected the housing market, but in the latter part of 2021, bets were reduced, which may be associated with the decision to reduce the commitment rate by the end of June, as well as increasing property prices and lack of supply are likely to play. All of us need tools to cope with increased inflation and its consequences. An increase in driving growth is the main tool of the Bank for achieving the inflation target. It is likely that this year the growth process will continue. We know that there are groups in the community that are sensitive to these increases, and the interests of the households must be the priority/priority. Clearly, the growing proportion of mortgages on variable interest is dangerous and something we need to react to. Mr. President. During the coming years, there will be a need for targeted government measures and policies to create a growing environment and a more diverse housing market. Public housing markets need to continue to be strengthened, with the aim of controlling prices and meeting demand. The public was built in 30% of all new facilities during the last terms, and this development has to continue so that we can outgrow the epidemic, as government policy dictates.
ParlaMint-IS_2022-03-03-46.u54	President. I think it is a very good and necessary point in this discussion to examine the subject on the one side from the big picture and from each individual. I'm gonna start with the big picture on this. The big picture behind all of this, in my opinion, that we need to draw attention to and push a little bit of it, is our pension system. Why do I say that? Because our pension system is based on the website of Pension accounts.is 6,000 billion dollars. Size. What does that mean, especially in view of the cost of a crop of 6,000 billion dollars? 3.5%? This means 200 billion a year that needs to grow in order to live under the pension system. This is interesting because real value increases GDP only about 100 billion a year. What, then, will happen to the missing 100 billion? They appear in in inflation, inflation, no more complicated than that. This is the core of what we experience every day in the loans, etc., the basis of inflation. The inflation is there because we set aside some of our wages in order to later receive them as provision in later years. But the value of this incarceration needs to be maintained so that we can have it for her when we get older, and it will cost us in the end. The other part of the pension system is a home that everyone needs in debt before they go into pension. That's what I'm going to mention in my second speech.
ParlaMint-IS_2022-03-03-46.u55	A respectable president. In many ways, the problem is prepared and anticipated. Although there is a global problem, many experts have also identified the mistakes made in the economy. It is now five months ago that the government groups fought their campaigns with the message that this has produced a certain low-growing environment, while the fact that the public's burden has greatly increased in the last few weeks and months and will rise in the coming days. Since then, this has been said to protect the historical setting of growth. It just doesn't matter. There is no consolation for all the shopkeepers whose loans have increased by tens of thousands. Rather, it does not matter when compared with the years when shopping, for it is all part of a home bridge. The competition between Iceland and Icelandic employment depends on our position and our competition for foreign countries, not in this country. What's the interest difference in foreign countries? It does not facilitate Icelandic companies around the environment. So the interest cost of the state's debt is going to rise and is already the fifth largest currency. At the same time, we are left with a number of cost - including the cost of living. because of a number of schemes, none of them are trusting to prioritize the financial resources of the state. So the theme we see here is rightly called irresponsibility and incoherentness. The government has increased the trinity and expenses to allow the minister's office to succeed, but then it does not have the worth of a person to complete various basic capital matters, such as the subsidies of psychological services. The activities of the industry tell the government that it is responsible for the total insurrection of state funds and its debt for the next government and the government will not respond to the message of the bank manager who made a clear statement at a meeting of the Economic and Business Committee this morning that it has to destroy the balance, that the state must spend less money and pull back. There will be either tax increases or government spending reduction. President. I call for clear answers from governments on the next steps and expect them to come back to life, for the situation is very serious.
ParlaMint-IS_2022-03-03-46.u56	A respectable president. Now I'm going to allow myself to be a voice of optimism, but now there are a very different conditions, but those that the perfunctory points to after a crash. First, the economic impact of the pandemic was not as long as many feared, and second, the government's response to the epidemic was to make the economic improvement more than expected. A major factor is that after a collapse, unemployment was high, but there is now a shortage of labor. At that time, the environment has made significant changes since collapse to the very point that governments have learned from the failures of collapse. These changes are both beneficial for consumers as well as financial institutions, and consumers are now more protected and have increased freedom to make independent decisions about their financial and financial businesses. As the housing market continues to move the inflation due to the lack of the forward gate, the harbor bank has few advantages other than the growth of steering growth, and there is good reason for continuing to use other national legal instruments. The action taken here at the council must not be pressured on the demand gate, as some proposals at the council will do. In this context, it can be emphasized that the financial debt of the economy is low in historical context, and despite the increase in home debt, the financial situation is strong. What will, in turn, have the most impact on the development of inflation is a future cold discussion. The job market will play a big part. Remuneration in the pandemic has increased substantially, which does not happen elsewhere in this situation. The debate must reflect the circumstances in the economy. Finally, there is much to work together to maintain financial stability, and to that end, all of us need to calm in the same direction.
ParlaMint-IS_2022-03-03-46.u57	Mr. President. The progress of money has changed greatly for the better since the collapse of the bank, and for that, we can primarily thank important legal adjustments in the long government of Jóhanna Sigurðardóttir. At last, Iceland's independent bank, the money policy committee, and the political orders of the bank manager stopped. Unfortunately, the European Union contract was not completed because by involvement we would have received economic stability for the future and a currency produced by 500 million people. Instead, we need to live with the Icelandic crown, the currency that plays the Icelandic public weep at regular intervals. The last peaks in the Federal Republic of Nations were having a negative reaction to the incomeiest and even those who already spend the vast majority of their provisions for housing expenses, homes that are in position not to be allowed to handle any unexpected expenses. The tenet market situation is difficult and disloyal, especially now when the inflation is rising and the rent that is linked to an index is automatically rising. The number of prices that will still grow as a result of the European war and increases in growth will result in the cost of housing for people with low incomes and average income being even higher than the limits of the provisional element. The result was that the government of Jóhanna Sigurðardóttir successfully used the house - reforming system and the child - reforming system during difficult times. Now we should use that experience and use powerful growth reforms, rentals, and child - making tools to ease people's concentration. It must only be adjusted by property and pay standards and limits of decline. Systems exist and you can react immediately. All that is missing is a political desire to be on the side of people whose condition makes it impossible for them to end.
ParlaMint-IS_2022-03-03-46.u58	A respectable president. Thank you. paritaprevir The Guðmundur Einarsson for this discussion today. Increased inflation affects every home in the country. That is why the Councilman has grown. This is to deal with the present situation, especially in a real estate market. The past few years have been unusual, including Because of the global epidemic of crown virus. But I have said before that it is probably not wise for the Federal Bank to increase the pace of money. Now, at the end of the epidemic, the job life is about to begin, and we have a realistic chance for the inflation to work quickly naturally. But more is needed. Many factors have an impact, and this includes. The real estate situation. It is difficult, real estate prices have gone up tremendously fast, and there is a great shortage of housing. The oer has not been maintained in demand. It is a fact that it cannot be overlooked that there is a price to pay for the inflation in Iceland as well as an increase in raw prices. Simply put, there is a shortage of apartments, including the result. Because of city convergence, which has led to high housing prices. It is being built expensively in animal areas. That's not what we need. We need to build faster, and we need to build practical ones. We Icelanders are growing fast, especially in the capital area. The responsibility of your community for the rise in real estate prices is high, especially in Reykjavík. Reykjavíkurburg is the largest rural society in Iceland, so what is being done is of utmost importance. The persistent lack of property and new structures in Reykjavík City has contributed to this dramatic rise and continued inflation. A respectable president. We have to do this together if we're gonna keep the water. We need to do our job. We need to ensure the growth and efficiency of living quarters for the future. There, the city of Reykjavík, the largest rural society in the capital area, has provided rich people with the leadership of their peers for far too long. [[Up front.]] [[The president calls.]]
ParlaMint-IS_2022-03-03-46.u59	What have you done in Hafnarfjörður?
ParlaMint-IS_2022-03-03-46.u60	We've been assigned weights...
ParlaMint-IS_2022-03-03-46.u62	The president encourages you. Senators to not stop...
ParlaMint-IS_2022-03-03-46.u64	The president encourages you. Councilmen to give speakers a sound to finish their speech, pointing out that it is not permitted to keep up discussions from their seats here in the Hall of Congress.
ParlaMint-IS_2022-03-03-46.u65	A respectable president. V.E.G. Minister Bjarni Ben. Hv. Senators and their beloved locals who are paying attention. I want to know from the very beginning that with respect to Ukraine, I am wearing their colored flag, blue, and yellow. I decided to cheat on color and wear jeans, even though it's forbidden here at the council, just today. Except, of course. There's a lot of weird shit in the cow's head. In memory, it was in the 1980's that both salary and other prices were decided to be assured, which was later found to be detracted so that the pay was not guaranteed. So as employees, we need to live by the rise of inflation, and somehow we need to take care of it. Now I've been thinking about it. An apartment owner who owns several apartments and rents them out has an inflatable income. And on top of everything else, he pays much less taxes. He's paying 22% for capital tax while the rest of us have to pay 30 to 4.0% tax. It's unfair. The best fruit today. It is said that there is little supply in the area of Reykjavík, mainly. I have the theory that the reason is even. Because capital owners buy apartments in grass and discipline because there is no better harvest today. When you deposit money into the bank, you'll get a zero point of interest there, and stock will be up and down. But apartment prices keep rising. So those who have money buy and make money because they can sell it again as soon as they want.
ParlaMint-IS_2022-03-03-46.u66	A respectable president. In order to complete life, we need a roof over our heads and our provisional income and for this we have installed a pension fund that does not assume that the pension can pay expenses. It's simple. If the pension is to be sufficient for just food and the like, people have to have an empty apartment. That pension is simply not intended for housing. In its overall context, governments need to be able to explain how to obtain housing at the minimum possible rate, as is the case with government extrapolation in that the minimum wage is in the minus one month apart. Then there is no way to own an apartment, much less just all other rural areas, but in the years and decades that are predicted to take place in Reykjavík, it is not possible to own an apartment. We're dealing with it now, we've just got the crowds updated. It's higher than expected. This requires even more apartments than was expected. The previous plans included the only rural society that built enough to fill that need according to the proportion of the city. The only country club. The others are all betraying themselves in that demand.
ParlaMint-IS_2022-03-03-46.u67	A respectable president. Here are fine discussions, and many views have been expressed, which I agree in many ways and others do not. But the situation is with us in view of our neighbors in Europe, that they do not have to run their homes like a hedge fund. They will not be forced to predict indefinitely how growth change will affect their home Bible books. They do not have to reimburse their loans every few years and are not at risk of losing tens of thousands of dollars a month because of the sudden decisions made by the bank. Normal people do not need to have a university test in economics in order to minimize the damage to a swinging currency. Sentences here today that the lack of property in Reykjavík is the main cause of the increase in real estate prices is not going to work. More than the neighboring community in the capital area has been represented by land prices throughout the country and the city of Reykjavík. In contrast, less growth and availability have increased the demand for real estate markets far beyond what has been in recent years. So the government might look closer before it blames others for this increase in domestic commitments. It is of great concern that she has attacked these operations without considering their potential effects. When I spoke of the interaction between inflation and growth, I remember the most. The secretary of finance is involved in the cross-cutting of pay and prices in a historical context. The relationship was unguarded, and the people in pay were not protected. When you are about to raise interest on a debt-seated company, I fear that it will just go straight into the prices and cause you to continue to grow. But that my plans for economic management are also to focus on the interests of the households and maybe primarily. [[Let's go, let's go, let's go, let's go, let's go, let's go, let's go, let's ……]]
ParlaMint-IS_2022-03-03-46.u68	A respectable president. This has been a fine conversation, but perhaps it has been slightly polarized over the real economic issues and what benefits are made from the situation as it is facing us today. We've been discussing the inflation here today. I haven't heard many ideas to address the inflation, but I've heard a lot of ideas about new expenses from a government fund. There have been demands to increase the expenditures of the other and these classes, but this alone is not likely to help us deal with the problems we are dealing with here, which are actually inflation and its impact on the interests of the people of the land because of the growth increases that have followed. In fact, interest rates have been discussed, and people say that they do not help even if there is little interest in historical growth. I'm going to argue, however, that it was important to consider the proportion of domestic provisions in the mortgage payments. There is a low share, there is not much higher than there are other countries in the North. The domestic debt in Iceland, however, is much lower than in the other North countries, if we use it as a percentage of land production. So the position of the household is much stronger than the debate today. Unfortunately, there is far too little that we can get out of this discussion, taking steps to deal with the underlying problem. I've been saying, "We have to use our financial resources wisely in this situation,'and we shouldn't look the other way, when the Sustainer says we're gone and we're in a new season. I wonder what the chairman of the United States means when he makes the decision that it was a bad decision for people to repay their loans or to go into real estate. [[The president calls.]] I just don't know what people are going to do. People have benefited from low interest levels. [[The president calls.]] I just want to say that, fortunately, many people have made it into the market, and we have never seen a similar number of our first apartment buyers, which is a very good case. But the project will continue, and we will eventually empty out this discussion. It's not going to be done here today.
ParlaMint-IS_2022-03-03-46.u69	A respectable president. I recommend a bill to legalise a law on the other hand on the description of the stocks offered in a general message or taken up business on a structured market, No. 14/2020, on the other hand, the information code of the publishers'stocks and fictitious regulations, No. 20/2021. The bill suggests the Regulation of the European Parliament and of the Council No. The European Treaty, 2021/337, will be given legal value in this country. The rules include a change in Regulation 2017/1129 which deals with the information of the stock market. A description is a synonym for documents or documents to be published because of the general stock oer or the purchase form for business on a structured market. Protocol 221/337 is part of the EU's provision to ensure payment and access to funding in support of improvements after the economic blow caused by a pandemic crown virus. This Regulation requires temporary changes in the system of descriptions in order to enable citizens and partners in the financial market to reduce costs and cut down the funding for the reimbursement process following the pandemic. Two main changes are in the Regulation. On the one hand, the maximum percentage of loan institutions from the obligation to publish a description is increased from 75 million euro to 150 million euro over a period of 12 months in the event of tenders or non-compliant stock markets being taken up continuously and repeatedly. However, the Regulation calls for a new, temporary and shorter form of description, called the EU Re-improvement Directive for filling with the earlier descriptions. Sources for using EU reform directives and maximum inspiratory capacity fail on 31 December 2022. Then the bill decides to make changes in the law on the information rights of the publishers of stocks and fictitiousities, No. 20/2021, which is aimed at ensuring that the use of terms and references between laws fit the financial market, No. 115/2021. A respectable president. This bill has only a short period of time, and under certain circumstances, the requirements for the information of stocks are set out. The changes are intended to provide loan opportunities to support companies who need refinance after the economic crisis due to the pandemic. So this is an indiscriminate legalization. It is desirable that the law should take effect as soon as possible, since the time of the Regulation is very short and has already taken effect in the European Union. Rich interests may include being seated at the same level as other members of the internal market in terms of access to funding during the pandemic. I suggest that the bill be referred to. The Economic and Business Committee following this discussion and then the 2nd. At the council.
ParlaMint-IS_2022-03-03-46.u70	Madam President. I'm here to recommend a committee party. The Foreign Affairs Commission for a proposal to consecrate Iceland's Free Trade Convention, the Kingdom of Norway and the Futurity Liechtenstein and the United Kingdom of Great Britain and Northern Ireland. By the proposal, the Allied Council is looking for approval of a free trade deal between Iceland, Norway, the Kingdom of Kingdom of Norway, and the Fustrich Liechtenstein and the United Kingdom of Great Britain and Northern Ireland signed on July 8, 2021. As indicated by the proposal of this paper, Britain's exiting from the EU and thus the EEA community service had a turning point in the relations between Iceland and Britain. The EU Treaty, which is the largest and most detailed holiday contract in Iceland, has been built in the recent quarter of the year. It ensures not only tax freedom but also unregulated business with most goods and services. As soon as Britain announced her resignation from the EU and the EEA, it was clear that a new setting would be guaranteed for the future relationship between Iceland and Britain. Several contracts were made against Britain to deal with the exits as well as with the rest of the EEA/EFTA countries, Norway and Liechtenstein, making a detailed free trade agreement for the future. The report shows that the Free Trade Convention in Britain is more elaborate and more detailed than the rest of Iceland's vacation contracts, with the exception of the EEA Convention. It reflects the importance of Britain as a neighboring country and one of Iceland's major commerce. Despite the scope of the contract, the key differences between him and the EEA agreements that were previously valid for a business relationship between the Member States. The EEA Convention has a unique status, including to the point that it established a common economy based on standard standards and regulations for goods, the free movement of remuneration, the free service and the Enforcement rights, as well as voluntary capital movements. Free trade agreements are not generally about citizens' rights to live and work in countries where these treaties exist or insure the right to education in other countries. Thus, the Free Trade Convention on Britain does not contain its regulations. When it comes to marketing of goods, the EEA contract and free trade agreements are comparable in that they do not include a toll alliance. In both the EEA treaties and the United Kingdom non-employment agreements, full trade freedoms for industrial products are laid down, but tollies are negotiated specifically for marine and agricultural products. The contract provides the same toll benefits for marine and agricultural products as the EEA Convention as the previous linked agreements. This guarantees that the exporters of Icelandic seafood products and agricultural products will receive at least The same natural treatment for animal health policies for the import to Britain as for other competitive countries in the EEA. In terms of the services trade and investments, the difference between the EEA agreements and the Free Trade Convention with Britain is mainly in place with the EEA Convention on the common market for services trade and free flow of capital resources, including investments, where discrimination between domestic and other Member States is generally forbidden. Free trade agreements, including the free trade agreement with Britain, confirm that current service trade legislation with third countries should apply to the treaties and legislation. For the monitoring of food health and monitoring for technical legislation, the EEA Convention requires that the manufacture countries be monitored but that this is not being done on the border. Therefore, a main policy may be unsupervised between internal countries. Because of the nature of the internal market of the EEA, such commitments cannot be established in a contract with the United Kingdom without all EU Member States agree to make the same kind of agreement. The Commission highlights the importance of the long - term relationship between Iceland and Britain. in politics, culture, education, and commerce As for the latter, Britain, as mentioned earlier, has been among the most important markets for Icelandic exports as well as for Britain's second - largest number of tourists in the country, including major service trade merchants. According to one report, the export of goods to Britain included nearly 69 billion dollars. In 2020, of these, the export value of marine products was 48 billion. or equivalent to 26% of the total transport value of Icelandic sea products that year. At the same time, Britain's import took up about 50 billion dollars. The export of a service to Britain was about 48.5 billion. in 2020 and took a substantial dip for the pandemic of Covid-19. Britain, however, is the second largest single import in Iceland and owns sea transport, air service, and tourism of the largest share. The Commission highlights the rich business interests involved and believes that by the free trade agreements involved in the Management Board, Iceland and Britain have a strong framework for business relations. The committee proposes that the proposal be accepted. Diljá Mist Einarsdóttir was away from the case, but he signed this opinion in line with 2 mgr. Twenty-nine. Congress. Sigmundur Davíð Gunnlaugsson was absent from the case. This is in accordance with the opinion of Rafn Rafen Ólafsson, an officer of the Committee. Under the opinion of what? Foreign Committee publications produced by Diljá Mist Einarsdóttir, Birgir Þórarinsson, Njáll Trausti Friðbertsson, Jakob Frímann Magnússon, Jóhann Friðrik Friðriksson, Logi Einarsson, Orri Páll Jóhannsson, and Þorgerður Katrín Gunnarsdóttir's daughter.
ParlaMint-IS_2022-03-03-46.u71	A respectable president. Thank you. A senator for history. This is an enormously important contract, an Icelandic vacation agreement, Norway, and Liechtenstein with Britain. Now that the EEA deal was in our hands, it was kind of made to us by the EFTAs of our time. Today, the EEA is mainly driven by Norway, I think about 90%, and in the UK it is called the Norwegian system, or Norwegian. I have no doubt that the Norwegians were the driving force in this, that this was primarily a negotiation between Norway and Britain, at least Britain always sees it as the main source of Norway. I'd like to ask you what. Senator: Did Iceland bring any special requirements into this contract and be taken into account? What were these special requirements and were taken into account? Is this agreement merely an agreement on the grounds of the Norwegians? What was Iceland's involvement in negotiations and the deal itself? As I said earlier about this system today, the original agreement was made, and the cost was brought, by countries such as Switzerland, Austria, Finland, and Sweden, I know that the Swiss were very strong at the negotiations, but I did not participate in the job. But what was Iceland's share in this record that's here for validation?
ParlaMint-IS_2022-03-03-46.u72	Madam President. This is where the person who speaks has a little trouble because he had confidence in the Committee on a State Department memo about negotiations, how to deal with them. But all our interests were cared for and men were fully involved. It is interesting to point to the EEA Convention, then to Norway and the European Union that the Norwegian people have been extremely careful about the EEA deal on their part and if I remember correctly they've had 70 employees in Brussels to deal with the deal. During the last term, we Icelanders and I made the decision to put extra funding through the budget, and the council made a decision here to increase the number of our representatives in Brussels so that each Ministry would have more on the notes. Not long ago, we may have had two agents out in Brussels, but now we've got seven, eight people, if I remember correctly, so that most of the agencies that protect Iceland's interests are involved. Of course, Norway is the big party in the EEA deal today, on that side, and with the British, we're going to follow in part by nature. But I can assure the senator that we were involved and cared for the interests of Icelanders through our commission and were fully involved in this work. But it's a little hard to remember exactly what you could say about this memo we got, you might have been better prepared if you had figured out what you'd be asking about in.
ParlaMint-IS_2022-03-03-46.u73	A respectable president. I want to thank you. A senator for the answer. My question now is: At the National Assembly of Iceland, it is not right, and the people of the country to know what Iceland's infrastructure was in these negotiations, what part of Iceland was involved in these negotiations and what Iceland's priorities were, what was heard and what was not? Now this body of Congress proposal will be accepted, and I can't see that there is no confidentiality, that would harm national interest, if we were to know, the Icelandic public, what our significance was in this negotiation and what our worth is in this vacation agreement here. I can't see it. It's the most important deal Iceland's ever made, and it's just a matter of transparency and democracy. I can also state that there are eight employees hired to Brussels, but the question is, Is there a lot to do with them or not and whether they have a good definition in their jobs there to protect Iceland's interests, e.g. ... tothecommittee.
ParlaMint-IS_2022-03-03-46.u74	Madam President. Yes, it would likely be a matter of talking with the Ministry and discussing what can be said on the committee. I think this may also be about future interests and negotiations, maybe there's something wrong with them. We must always, as in this case, in order to be absolutely clear, to take special care of our special interests, and our people were in full contact with our Iceland's interests, which are enormous in this matter. As mentioned in this article, this is, if I recall correctly, the second - largest business nation in Iceland after the United States. Of course, this has skyrocketed, both the trade and then the service to the flight and the tourism. But just so I can assure you what. Senator: Our interest was taken care of by the members of the Ministry for us Icelanders in these talks. But then it's a question of whether we should film it, how we appreciate it on the basis of the overall interest. But this kind of deal - I think that when we're in this deal with the nations, whatever they are, there's no last deal. This is a constant process and will definitely continue and we will continue to try. But I think there's a relatively great deal of agreement in this country and the goals that were achieved, in specific things that might be related to our interests rather than to the interests of the North and the people of Liechtenstein. But it's hard to get a question like that when you can't quite remember what you can say and what you don't already have to talk about. ... you're going to have a little problem with this, but thank you for the inquiry.
ParlaMint-IS_2022-03-03-46.u75	Madam President. Yes, in a sense, when things like Bgret happen, things like this need to come up with new agreements. The same text may have to be written, and much of it may be the same for all countries. But then there's the specifics for Iceland that mattered most to us and I heard it as an officer of the State Department of State, and it wasn't something specifically stamped out as confidential, that our team had worked hard to try to secure Iceland's interests. It is, of course, with such agreements that it had to work a little fast because people thought that it was not going to happen, so suddenly it was, and fortunately, temporary negotiations could be made to bridge the gap. The process is now completed to establish this specific agreement with Great Britain and Northern Ireland. Is everything the government wanted? No, I'm sure it's not. When a contract is made between two parties, you need to find a means of gold that both parties can accept. Can we make a better deal? No doubt. But at this time, I think it's all right - I'm gonna mix the words of defense and a deal together and say a good defence deal. What we can expect is, of course, that it needs to continue. There are many things that we may have been accustomed to as part of the EEA. Can be used there, e.g. mention, if I remember correctly, that in this contract, there are no lower fees for study, but in the United States students received, for example. reduced school fees in the past. As a matter of fact, I think, throughout the Europeans, they no longer get a lower degree, but only the citizens of Great Britain and Northern Ireland. I'm sure there are some things you can fix. You can probably argue about whether in one area you could have gone further and shorter in other fields, etc. The important thing is that we can continue our business, we can continue our travel, we can continue selling goods and services there, and we just hope that it will encourage the Ministry to continue working on better contracts as time goes on.
ParlaMint-IS_2022-03-03-46.u76	Madam President. I hereby recommend the resolution of the United Nations council's disembarking proposal for children to read: ▪ The General concluded that children's dental work will be free of charge and that health - care ministers will be assigned to offer the bill no later than in May 2022. Madam President. This proposal was submitted to the last council by a member of the United States Parliament, Ágúst Álif the Ólafur of Ágústsson, but it was not possible to succeed and is now restored. The proposal suggests that the General Assembly will conclude that children's dental rights will be free of charge and that health ministers will be assigned to submit that bill no later than May 2022. Children's dental rights are well - known, and carriers feel that children are inaccessible according to their parents'economic situation and that children's dental rights, such as the dental work of children who were completely conditioned in 2018, are subject to law. The cost of dental treatment for a child may well exceed a million dollars, and the treatment will take on an average of three years. Parents have the cost, and it is obvious that less wealthy parents are reluctant and will not be able to help their children when it comes to dental treatment. Dental and biting disorders tend to occur in families, so families may be at high costs when more than one family member needs dental work. This situation, Madam President, is disturbing, and it is therefore important that the Council issue a petition that children no longer be discriminated against when it comes to drying teeth. Iceland's Medical Insurance and Iceland's Dental Association on Dentist Children went into effect on May 15, 2013, with the signing of the Guðbjartur World Ministry Hannesson Health. The agreement was made in stages where dentistry was intended for children 17 years of age and younger to be free of charge except for annual visits. In the beginning, the contract to children 15, 16, and 17 years of age, was added to the timetable until it reached all the children in this country when the induction was completed on January 1, 2018. According to the contract, Iceland's health insurance is now fully paying for the dentistry of children 17 years of age and younger, apart from 2,500 bucks. annual attendance fees. Yes, Madam President. You see, it matters who is in charge, and this happened in the time of Jóhanna the Sigurðardóttir. In 2021, the cost of placeling children's teeth, too, was estimated to be about 2.6 billion per year. About 30% of each year now uses dental surgeons. It may be estimated that the cost of children's inexpensive dental rights can be worth about 1.5 billion, much less than the cost of dentisting children. The aim of the agreement on dentistry is for children under 18 years of age to obtain necessary dental services regardless of their parents'economic situation. In view of such goals, these are also relevant for children's dental rights because the current range of differences between children according to their parents'economic situation, since children's dental rights may be very expensive and there may have been other million dollars of treatments. So it is repeated that AIDS - stricken parents in Iceland obviously do not have the same potential as those who have more money between their hands to ensure their children's needed dental care. In view of both the present and the then president of the Iceland's Tooth Rights Association, it is quite common for parents to not see how their children's teeth can be handled because of high costs. It is clear, then, that moneyless families cannot afford to send their children to dental work, much less if many children in the same family need dental work. In the case that a child is required to undergo dental treatment, it is in the majority of the most frequent cases associated with biting or agglutination that is inborn defects and therefore cannot be prevented. It may be noted that the official pays full attention to measures to correct the congenital defects in children in other parts of the body, not in teeth. It's strange, Madam President, that teeth are reserved for health care when it comes to dental work. Until 1992, there was a contract between dental rights specialists and the State's insurance agency for reimbursement. The contract included most of the committed patients with tooth dissociation and tooth failure, and was a significant part of the remuneration spending. However, at the beginning of 1992, laws that end all reimbursements for routine dental work were passed. Sadly, this was done there, meaning that those patients needing dental rights did not get any money back. Today, Iceland's health insurance is paying part of the cost due to necessary dental management in accordance with Article IV. and Section V of Regulation 451 of 2013 and it is mandatory that a dental rights specialist perform the service for fixed sponging therapy and has a level of 100,000 bucks. or 150,000, nothing changed for the 20 years, nothing. The amount of money is the same, and it has not even kept up with GDP. Had his strength been indexed and followed a normal standard, he would now be $340,000. minimum. Transporters feel that these levels are often effective and, in many cases, not at all. The requirement for such levels of health care is that treatment with fixed devices should be initiated before the age of 21 and that the individual has not been previously sustained for dental treatment. Iceland's health insurance has paid about 220 million in such strength to some 1,840 children. In the case of more serious cases, the health insurance in Iceland pays 95% of the costs resulting from the treatment of a dental rights specialist and applies to these cases in the case of cleft palate, congenital failure of at least 4 adult teeth or, in some cases, when surgical intervention is required to correct the bite. It is not a contract for such a service, but it is paid to the employee's will, and it says here that parents and other family members of children who have an accident or have such inborn defects to hold on to many years of health insurance for Iceland, although this support is so specific. Iceland's health insurance has paid 420 treatments every year for such serious cases in children more than 200 million. K. In a year, so it's not a lot of money, Madam President. Furthermore, two trips from dental treatment are supported each year. The person's need is to be strengthened by dental treatment, and support can be given for those living outside the main urban core outside the area of dental care. Here it is suggested that in addition to necessary dental treatment performed for medical reasons, other dental treatments that the dentist considers to improve the quality of life of the child will also be set free. However, it should be noted that not all potential dental rights for children are expected to be free of charge, such as those derived from a medical point of view as minor. According to that, transgressors stress that the government does not place too strict conditions for crediting, since often toothlins can just improve their sense of identity and thus, in some ways, their health, their mental well - being. Transporters therefore suggest that dentists and dentists, in agreement with the Ministry of Health, agree on valid conditions, on which cases should be free and which should not be considered. The bill's contract highlights that the Ministry of Health has consultation with dentists and dental rights specialists and should never be overemphasized and maligned here at the Congress Hall. Unfortunately, ministers, including the highest. Minister of health, take this to heart. Transporters stress the importance of freedom of exchange as soon as possible, with a normal goal being the next year. It is therefore suggested that the health - care minister submit a bill no later than May II, May 2022. The report on this synopsis will only discuss how this is in the North countries, and you will see, including the United States. In Norway and elsewhere, a special attention is given to the child of a number of families, where more than one child needs dental expenses and believes that these are exemplary and imitate to remember. When millions of dental expenses run toward them, it is of great importance that our common health insurance systems come to assist them there. As mentioned earlier, there is a United States council that represents this decree of interpretation. When this discussion is over, we ask for it. The welfare committee.
