ParlaMint-IS_2022-06-13.u1	The president considers an agreement that may last longer than the Senate allows.
ParlaMint-IS_2022-06-13.u51	V.E.G. President. I hereby recommend to the Committee's committee a greater part of the budget hearing of a proposal for the interpretation of a financial plan for the year 2023-2027. The proposal is on the 5th floor. a law on government finance where it says that a minister should propose to the General a proposal to conclude a financial plan until the next five years. In all, there were 26 reviews and 18 members of the committee. As mentioned in this article, after referring to the committee in March, we have discussed the matter in a number of meetings. A number of changes have taken place in economic outlooks since the approval of financial plans for the year 2022 mouse a year ago. The strategy has now been updated based on the latest effectiveness of Iceland's Habitat and is essentially about economic progress and economic control of the role of the government. Expansion is estimated to be an average of 37 billion higher per year, in accordance with the cost of 2022, or a total of some 148 billion dollars. The changes in the topic range between estimates are largely a health problem, with the increase in donations being made in a new hospital. There is increasing emphasis on innovation, as indicated by the increase in donations each year by 103/411 billion from the previous schedule. A respectable president. It is now apparent that the measures taken because of the economic breakdowns that resulted from the pandemic yielded the expected results. The expansion of the state funds and exchanges have resulted in rapid acceptance of the nation's economic economy. All major measures demonstrate that the use of financial resources for the protection of households and businesses is unmistakably successful. Otherwise, resistance would not be as powerful. At the same time that the economy takes place after a pandemic crown virus, and economic growth as well as employment prospects, there is uncertainty about the war in Ukraine because of reductions in the stock markets. This has changed the economic presidents since the beginning of the year. Inflation is the greatest threat and the challenge to the economy at this time. It is anticipated that these circumstances will have a significant impact on the income and expenses of the state's budget. In view of the income side of the state's budget, there have been considerable fluctuations in the years, on the other hand, on the tax system itself, and on the tax returns by these taxes. The external factors such as the fall of WOW arraine and subsequent pandemic crown virus caused a decrease in taxes. During the past terms, a special emphasis was made on reducing the tax burden on low income paid individuals at the same time as tax revenue increased with the growth of the economy. This has resulted in significant reductions in tax returns from vehicles and fuel, with more electrical vehicles being made. The economic activities under the control of governments, along with vigorous employment, have enabled society to gain a more powerful resistance as government income is reaching historical proportions. So tea stems are getting closer to their original strength sooner than expected. Recently, counter measures due to increased inflation were under way that will reduce its impact on the vitality of society's most vulnerable groups. These included improvements in social security, special child reforms, and improvement in housing. On the other side of the coin, you can find the expenses of a government fund. In the past government, expenses and investments increased rapidly as a result of the improvement in the terms of the season. Health costs, social, housing and insurance, research, development, and climate were largely increasing over the course of the period, for example. Today, there is a new reality in which tensions in the economy need to be reduced in order to protect financial resources and provisional income. The public must not leave that behind. The financial program of this magazine shows that the growth of the Kingdom budget is continuing but that is considerably slower than the growth of the past few years. This includes a firm arrangement that requires a clear priority for expenses in the years to come. During the two months that have passed since the proposal was made, the economic situation has changed considerably compared to that of Iceland's National Institute of Economics, which lays the basis for the Senate resolution. The economic presidents of financial programs were published in March when the economic impact of war in Ukraine was not yet realized. The changes discussed are reflected in other people's current economic forecasts, including those in the EU. It's Iceland's Secret Bank. There, the greater the increase in in inflation and unemployment is expected. This trend is specifically explained in the Committee's opinion. At the same time that the economy takes over from a pandemic crown virus and economic growth as well as economic prospects, the war in Ukraine has caused some uncertainty, including uncertainty, to occur. due to prices and various secondary circumstances. This has changed the economic presidents since the beginning of the year. Inflation is expected to increase the income of a government fund to a short period of time, as the largest tax bases in the state are linked to the development of prices, e.g. worth tax on consumer products and income tax on pay. The same can be said of the spending side in view of the fact that a large part of the State's budget has some connection with inflation. As a result, in recent years, inflation is unlikely to have a significant impact on the survival of a government fund except in the year when it falls. A greater proportion of legal committees are particularly urging attention to measures aimed at protecting against inflation and worsening business prospects, especially in defense of smaller groups. According to recent reports of Iceland's Habitat, the annual change in index price is now 7.6%. This is the highest rate of change in the index from the spring months of 2010, which was about 8.6%. The main increases in index to last measurement can be found in food and beverages, housing costs, new cars, and costs in fuel and oil. Most investigators estimate that inflation will remain high beyond the year, or at least Until the fall. However, it is expected that in the next year, inflation will also be relatively persistent and it will occur at around 5%. Thus, in 2024, inflation will not begin to decrease and approach the cost of Iceland's Penitentiary. Iceland's late bank has, as we know, responded to inflation with significant increases in the bank's main growth, from 2.0% to 3.75% since the year. In the interest of major investigators, the average yield of economic growth is expected to be less than 5% this year. It may not be at this time, but it will have to go on in a little while. Economic growth will continue to increase beyond a year when tourists begin streaming to the country. Agents predict that the number of tourists this year will be in the range of 1,41.7 million people. A respectable president. This financial scheme is based on effective administrative cooperation that has been going on since 2017. At that time, expenses for key classes of well - being and education have increased dramatically. At the same time, there has been an invasion of innovation and research and investment in society's infrastructure that ensures future economic growth and competitiveness. If you examine the ten - year development of budgets, from 2017 to the end of this council resolution, total resources from 2017 on the price of 2022 to 2027 increase by 362 billion or 40% in actuality during these ten years. In view of the total increase in budgeted budgets, which show interest costs, pension debt and unemployment insurance, during the season it accounts for 47 billion, from 2023 to 2027. In terms of the sum, contributions are raised to the languages of the elderly are second most important, or about 13 billion. The contributions to the topic of innovation, research and knowledge are increasing by 3.6 billion, while the reductions in specific topic areas during this period are clear in the majority of cases of fluctuations in investment expenditures. Reductions in transport donations are the most significant factor, which is caused by a special investment campaign to offset the effects of a pandemic. It is estimated that framed expenses increase the absolute value of 292 billion over time, an increase of 37% in ten years. In terms of money, contributions to hospital services increase most or about 40.6 billion. Will this be explained by real - life growth to the operation of Hospitals and Hospital Buildings? The subjects of the elderly rise by 33 billion and anticipate a considerable increase in the elderly during the period as well as the increase in pensions. The reserve funds rise 32.6 billion in accordance with the objective of government funds and contributions to disability and the products of disabled people by nearly 32 billion. Health and other health care programs outside the hospital increase by nearly 22 billion, and by about 17.5 billion for innovation, research, and knowledge. Medicinal products and medical products increase by less than 14 billion; contributions to university by more than 11 billion; and as a nurse of 11 billion is the largest raise in reserves; this was a very little at the beginning of the season. President. By 13. The law on government financial matters requires financial advisers to provide an evaluation and an opinion on financial programmes. Official financial policies and policy evaluations are an important tool for government discussion. In the Commission opinion, we draw out key points in which financial advice is provided to us members of the committee we have been discussing both in recent years and in recent years, and we continue, trying to set us up as role models and, of course, to be joined by the Board of Directors and the Ministry of State. The majority agree with much of what you think. Special attention should be given to the importance of investments under transport and communication sectors. To compare investment options, such as the work programme and the priorities of the plan, it is important to develop a set of priorities. Similarly, the more part depends on the view that in today's economic system, it is important that government policy is in line with money policy with moderate maintenance instead of being expanding as state income increases as a result of increasing economic activity. In other words, saving may now be advisable. There is a committee study to find an overview of the work that the greater part considers urgent and highlights. It is important to sharpen the priority of projects within the financial frame rather than constantly request additional funds for new projects. The review of the current budget needs to be enhanced. Examples of such growth and the will of the government to make administrations more selective and efficient are the changes under Iceland's Management Board for reorganisation of projects within recruitment and recruitment. The majority stress the need for greater efficiency in the public business, for increased agreements and agreements between recruitments as the key to improving the use of funds. The development of digital solutions in cooperation with Digital Iceland was successful during the early term. Such investments are an example of improving the quality of a ministry that at the same time could bring lasting benefits to government management. Therefore, it is important that the maintenance of government over the years do not reduce the motivation for digital evolution in public service but contribute to it as a means of making better use of the funds spent in the ministry. Public property, especially government property, has to be used better. There is a significant lack of introduction to the current policy. The more part of the report continues to be that a full process will be implemented on the basis of tenet policy and the legal framework for the export and use of land areas to further the future growth and opportunity. Emphasis the importance of achieving a much more targeted integration to disrupt specific resolutions in various aspects of the infrastructure. It is not always a matter of increasing government funds but of using the right methods and motivation to attract the exposure to the infrastructure that society cannot afford to build up. A respectable president. A member of the Committee's Committee on key topic areas can be found in this article. I'm going to tap on a big one, end time limited, and draw out key things. The financial programme offers a review of road and vehicle taxation. As I said at the outset, there has been a significant change in the use of automobiles. There has been a significant lack of taxation on the uses of the country's road system if compared to the previous taxation arrangements. In view of the greater part, taxation has to be reimbursed to link right incentives and support energy exchange and greenhouse gas emissions targets. It is also important to have proper incentives for the variety of transport workers, and this is said in view of the fact that much longer will not be overlooked if roads are not available, the maintenance of roads will suffer. The majority suggest that the change in taxation results from the weight of a vehicle one of the things that will be seen to the end of a more heavier vehicle will be the most likely to occur according to the road. But we also place great emphasis on the need to be careful about the taxation. When the next budget is due, changes must be made to reflect the use of vehicles on the road system. The majority feel that long - term investment in transport workers is very productive. Such investment can also be used as a means of economic management, and it can be carried out in areas that are more complex and less productive. Smaller projects, such as road construction and road safety measures, are more often than no human cost. This financial program is being promoted in the rebuilding process. At the same time, there is ambitious and good aims for the construction of transport workers in the capital area with a historical agreement made by rural society and the government. Governments have placed special emphasis on innovation and have devoted enormous resources to research funds, reimbursement, motivation, and support networks. Despite all the factors involved, climate, health, and equality have been promoted. The government's emphasis on innovation and support has been on the promotion of higher values. Extensive growth in the export of intelligence and growth is a basis for future economic growth. At the same time, it is necessary to better identify the benefits of reimburse and identify the obstacles in a progressive way in order to get the most benefit from funding. This has been initiated on the budget board and, in fact, on some part, on the job committee. The committee encourages government agencies to use the technical solutions that come from government support systems. Some neighbors are buying the services of Icelandic innovation companies, e.g. In health technology, but it's not new here. Officials must be encouraged to use domestic solutions that it has invested in and built up. In this context, it is important to note that the government's investment in digital solutions fits the bioavailability of citizens to the state and save expenses. It is estimated that the official's annual savings from such investments will be about 9 billion each year. President. In recent decades, most of the business projects that have been used in our jobs along with the tourism services all depend on the fact that contributions to research have been made significantly. A competition fund is a good tool for attracting attention in research, capitalism, and people. However, long-term studies, i.e. The monitoring and monitoring of many fundamental factors that do not agree with competitive funds is still the basis for many research and development projects. The majority of the money increases to competitive funds are important, but also the priority for tourism, marine research, agriculture, architecture, and geology needs to be established. Soil and natural hazards are in addition to the above factors, which could be described as a work route, and are areas that need to be more emphasised. The majority point to the government to work on the contrary to the Department of Legal Affairs to set a standard for basic research in these areas and on their funding. The majority rejoices with the food secretary's work on the activities and definition of national food security. Food production is now facing severe threats, and growth in raw prices is increasing in the air. It will be expected that in the near future, food supply will be drawn together as a result. There is a possibility that lack will continue for the next year. This trend will significantly affect the public's standard of living, which needs to spend a larger portion of its income for food. With a shortage and an alarming increase in price targets, the state of agricultural production is extremely fragile. Clearly, all cost increases to consumers cannot be considered. The greater part reminds us that in this year's budget, about 750 million were proposed to meet the level of waste management. Specific measures must be taken to determine whether and how to support the primary manufacturers in order to maintain the ability and willingness to produce. The majority of them do not consider dealing with this problem merely a problem of farmers and deforestation. In order to improve food security and protection, food production has to be maintained on a much broader basis in the country. Farming is a fundamental factor in climate development, and it is important to trust the development of Icelandic society through a balance between one's life and nature. There is strong evidence that agriculture can be applied through intensive agricultural research and further improvements in climate. The increased domestic product of vegetable production, reducing import, improving use and management, and improving agricultural feeding supports this development and reduces the negative effects of man-made climate change. In order to advance with green and climate - changing agriculture, it is important to have clear vision and goals. Seafood is one of economic supplies and is inhabited in the land. It is important to trust the article at the same time that we look forward to the future. It is in common with the government and the fishing business that the setting of this article is based on sustainability. In particular, in a government contract, the need to build up continued work on the report of a financial and economic minister group, Green marine initiatives, in order to meet the established climate goals. As noted earlier, marine research provides the basis for the use of marine crops. So groundwork and other research in the ocean are fundamental. By means of a new research vessel, more opportunities have been opened to increase monitoring and measurement. It is important to ensure that the best use of human resources and the research tools in this field. In addition, research supports green exchanges in the seaside, and it is important to support and promote natural protection and energy exchange through a recession and green investment. Following a war effort by the Russians in Ukraine, fishing prices have risen considerably with a significant increase in income for fishing companies, both in fishing and in fishing. In view of the state's state funds position to the next year, the Commission would like to promote a better outcome in this article to provide higher fishing costs and to direct it to the government, that the possibility of further revenue is inevitable if necessary. The economic benefits of fish breeds are increasing each year. It is important that the greater part of the study should be considered specifically for use in fish farms for further valuables through increased research and post-trial episodes with a change in rules resulting from increased knowledge and experience in the past few years. Governments are required to ensure that all decisions about fish farming work are based on scientific research on the ecosystems, biodiversity, and the environment. A respectable president. Travel service is the fastest industry in recent years. It broke children's robes, one of the main exports of the country. All long-term policy decisions must be based on solid foundation and on the long-term improvement in stability and stability of the article. As mentioned earlier, the more part will agree that tourism needs to be done and that such a job needs to be enhanced. There is a great need for development in many tourist areas and, in itself, a wide variety of ways to finance and meet that need for building up. Here are reasonable user fees and parking expenses. Then the pay could be paid by coming back to the country, which in turn would support the state funds that it grows out of the present economic crisis, as well as the development of mass tourist attractions. Thus, I would like to reiterate the majority of the Committee that for the next budget, a plan for their use will be implemented for their routes and for the development of multi-fished tourist areas. In the context of reliable studies of earthquakes and natural disasters, as mentioned earlier, it is important to keep a broad security issue in perspective. The majority point to new and growing challenges faced by public security and law enforcement. In the 2019th century, the international defences have been working almost constantly since the storm, coping with earthquakes, volcanic eruptions, landslides, and other activities that have proved necessary. This has increased the pressure of law enforcement through tourism, traffic accidents, and other accidents, as well as the growing number of Internet crime. In particular, improved studies of sexual crime, increased speech rates, and more intensive law enforcement support the aim of the government on increasing emphasis on equality and sexual freedom. Our online safety, however, asks not only for an increase in Internet crime but also for stable communication and Internet security. There have been steps in the market of the telecommunications market for further integrated investments. New communication laws play a key role in which sources of cooperation make it possible to blow for further application. The government also holds many important communications timbers that can support further efforts. Strong communication is the basis for long - term employment and human life. At that time, the majority of the shares are directed to the government to make money through rent on frequency lines of communication that can study up to 750 million, but they do not seem to be taken into account in this financial programme, to promote Internet security and communication activities. A respectable president. Increased energy research is one of the main factors in energy exchange and climate, and it is important to maintain the increase made by budget 2022 in place, the same with the funds for the Agency. This financial program continues to support the development of the electrical distribution system in scattered regions. The focus has been on equal costs for distribution and ensures access to a solid distribution system. In this country, transport energy transfers have made progress and have focused on the policy of the government. It raises important political questions about the availability of people and companies in solid relationships with the electrical power system and the supply safety. Much money has been spent to balance the cost of distribution, but it is rarely achieved to the level of equality, which is legal. The energy exchange is a national project, and it is important to support the funding and order of the nation. The bioavailability of enterprises and communities into electricity is widely inhibited when it comes to housing security and valuables. It is considered that the greater part would be considered to be a major measure of decision-making in energy production, the structure of the distribution system and its arrangements. This suggests that, in order to achieve a larger balance between the population in the country and to reduce the financial resources needed to live under this equation over time, the major contribution to the development of electricity transport costs will be reimbursed. V.E.G. President. Then we turn to health and social matters. Medical science has advanced in recent years and has led to a wide variety of newities in the treatment of disease. New technologies and new medicines have been identified that may make a difference for patients, but in many cases, new treatments include a huge increase in health care expenses. It is important to use technology and innovation to provide better service and to increase its effectiveness. At the same time, increasing emphasis must be made on public health measures, promoting health and health lifestyles to prevent disease. It is important to take appropriate measures to detect pre-existing abnormalities for early intervention and to prevent disease development and complications. Such public health projects are one of the best provisions to reduce the rate of rising health costs, including Because of the nation's aging. The greater part also points to the need for overall health care policies rather than to focus on individual problems that are too high. The development of health matters calls for an integrated system in which all health institutions, nursing homes, and community service are involved. In this way, both older and older ones can improve quality of life and make it possible for older ones to live in their homes longer. The majority of the budget committees welcome new contracts for nursing homes and want to reimburse the importance of following these contracts and continuing to develop and improve domestic operations. We know that the development of new aging institutions has been delayed and that funding new homes and contracts have been important. The majority rejoices that in this financial program, the pace is the first step toward the government's goal to simplify the micro-organization system and improve the quality of biofuels. It is important to combine data groups, reduce income connections, and increase the availability of job support for those who have it. It is important to ensure good service to disabled people in line with the United Nations Convention on the rights of disabled people. The treaty has already called for important and significant changes in the implementation of services to disabled people in the past and in the future that will greatly improve their quality of life. Social and workforce minister has reported on the establishment of a group of personnel to shape suggestions on government and rural division due to what we know as NAPA agreements. The next financial programme needs to look to this group's conclusions regarding the financial resources of the rural society in order to meet the international commitment of Iceland. The greater part highlights the importance of developing a progressive and long - term policy in the affairs of foreigners that contribute to the success and mutual adaptation of immigrants and local and thus preventing the formation of an immigrant community. At the same time, the services of public parties, whether by state or by rural society, reflect the large population that has been formed here. Not only is it a matter of justice but it has to do with rich national interests that people, regardless of their background, have an opportunity for active participation in society and at work. Finally, homes are considered to be in question. The main objective of public housing policy is to ensure the security of all the citizens of the country, but the cumulative need for housing is one of the greatest challenges to economic management. In view of this, the importance of reducing tension in the economy is seen in the majority of the budgetary committees in order to protect money and resources. Remuneration of households for increasing inflation calls for the development of social housing. The majority stress that financial support for housing for those who need it will be based on reliable programmes and that the aims of financial plans for its duration will be followed. In particular, because of the problems of tenants and social construction organizations, public or private projects are required. As I've been trying to run on this, President, economics have changed considerably since the plan was submitted. This is taken into account both on the income side and on the remuneration side of the schedule. The aim is also to exploit the eco-efficiency in the economy in order to reduce the angle of state funds more rapidly than expected, which is in line with the policy of money reduction of inflation by reducing growth in the economy. Most income stocks rise from a voluntary schedule. This is in harmony with new economic leaders and ingathering development for the remaining year. Of individual taxes, there is the largest increase in cost-to-treat, individual income tax, insurance fees and fiscal taxes. Despite less actual growth of private consumption than planned, value taxation is re-evaluated due to increased inflation and basic effects of revenue during the past year. The main changes in the pay edge of the budget are to increase the expected salary, social security and cost of compensation, to raise interest costs due to price gains, which have a slight impact on the next year and the second, but to decrease thereafter, to counter-improvement measures to support the income-based home due to increased inflation costs increase the cost of spending by 51.77 billion a year and finally there are measures to help with the improvement in the economy that have been reviewed before. There are several other modifications, e.g. it is estimated that expenses increase as a result of increasing number of refugees this year and next year. Then there are the reductions due to a total of 7 billion less unemployment, to name just a few. A total of these changes account for the annual reduction of 15 to 33 billion. All but 75 billion - to - increase changes in the rate of the programme. The total increase in Kingdom funds is expected to be about 30 billion over the next year and over 20 billion years thereafter. A respectable president. I hereby speak and suggest that the suggestions of the greater part be agreed upon by the changes outlined in his Committee and made available in a special Senate document. I would also like to mention that it is wrong to consider the greater part of the section on page 24. The 16, 5th increase in the number of refugees and thus, which are spoken of as 2 billion each year, is the current year and the next year, not 2023 and 2024.
ParlaMint-IS_2022-06-13.u52	President. I wanted to ask the highest. Chairman of a financial committee: Is this financial program really explaining to us government policy? I would have expected that the problems we face in general are that we are struggling with an underlying balance in government finances. There is definitely a health system problem, just the whole system, the emergency unit and all into nursing homes, the cause, housing, older people's affairs, the affairs of disability, resource cases, the pressures of the mass epidemic now that tourists are returning to a much greater degree than they were expected immediately following the epidemic and most of the things listed in the panel of the highest standards. In fact, the chairman of the budgetary committee was a repetition of what was decided during the last terms, and financial programs are about to an enormous extent. It is very little new, and there is nothing really about these big social problems, their situation, and how governments' policies will make them better and how better they are, but it is just so common that they are going to contribute to these things. But there is nothing necessary to understand what it's like to put money to solve these problems, and what are we getting for the funding we're putting in these classes? They need a complete explanation, and I just wanted to ask them the chairman of a financial committee: Is it acceptable that we receive such a document from the government that is not really explaining anything to anyone? There were many guests who talked about it from a transparent viewpoint. It was also spoken of by a financial body. A counterclockwise in this financial program would not be the answer. Honored.
ParlaMint-IS_2022-06-13.u53	Yeah. A respectable president. Thank you. A senator resists. We've only taken this conversation, if I may tell you before, and not anything new in it, especially when it comes to improving production, increasing transparency, and increasing their understanding of the subject, whether it is a financial plan or when the budget, as we have been discussing here repeatedly for many years, and looking at the steps rather slowly than anyone. I may not be unusual for a plan to change dramatically between years of age, as we just heard not so long ago in the company who visited us that it should be that it would not be moved for five years or longer even. I don't really know if I agree with that because, as it turns out, we're in a system that makes it move a lot. No doubt there is always room for debate as to whether a government policy will be clearly identified in a schedule at any given time. No doubt we can help if we try to draw out more of a salad word and more where it is well. A senator then expressed and more what to say as a goaler or something like that and I agree completely with him because there is a better way to perform it. Plans appear and appear in financial terms. In itself, it may be said that it is a large plow, but it could be even clearer. We're there, I think, totally agree. But we must not forget that these are the big lines. We'll arrange it for the so-called ones. How will we do so? There may be more in the budget of each year, but there is still another possibility. I just agree with that on policy. It gives an answer to a second one, what. 6th. Smoke. S......
ParlaMint-IS_2022-06-13.u54	The request of Leví Gunnarsson, the president of the United States, is certainly required to show exactly how to perform things in that year, but the policy is to be set up in a financial programme, and examples such as this in reality not just the words of this part are stated in a government contract, with the permission of a president: Set us a national target of 55% reduction of the direct responsibility of the Iceland for 2030 compared to 2005. So says three places in the financial program, with the permission of a president: Iceland is involved in the EU's aim to achieve a 55% reduction in greenhouse gas emissions by 2030 compared to 1990. Then, in accordance with the European Union, to take Iceland and Norway as part of a joint target of 55% reduction which has been integrated from 40 to 55% within 40%. The goal is for Iceland's responsibility, which falls outside the ETS, and once again, independent goals are spoken of by 55% in 2000, and in 2005 they go back and forth. There's something there. 55% decrease that governments are able in some amazing way to set it up in three different ways with the wrong date up and down in their financial plan. How's that working out for you? That's when an answer's answered.
ParlaMint-IS_2022-06-13.u55	One or two. paritaprevir Yes, Madam President Bjarkey Olsen Gunnarsdóttir. I say again: Of course, the government's agreement is one thing, so the budget is different, and we need to keep it in mind. A senator may have been referring to his goals in the program, other goals, and the way we are going to achieve them, and the most likely advisability in them should be made up of a series of measures that follow exactly as well. A senator was referring to the climate issue. But I'll agree again with that. A senator says I agree that we can make this clear. We can do this inexpensively without saying what to say because we're talking about complaining a little bit often because there are too many words about the same thing again that we can say in a clearer and clearer way, and we're still applying ourselves in it, and I haven't forgotten that we're going to find ourselves trying to handle this assignment. Because I think it's important to all of us, as is true of those who have this discussion in town. It'll give you the opposite respect.
ParlaMint-IS_2022-06-13.u56	A respectable president. I'd like to direct the question to an honored Chairman if it agrees with the claims of the Supreme Court. Secretary of health and the highest. The secretary of finance that our health - care system is fully funded after our lecture on this program at meetings where visitors came to us, and the reviews show that there was a total of 1% missing, a total of 1 percent in actual growth in the operating expenses for the Land Hospital to keep things gone. It also states that new nursing service contracts are not filled, that a quarter of the people in the Land Hospital are used in aging services, although there is really no definition of the degree of aging services required by the Land Hospital. So we've also seen it and it's been published publicly, calculations showing the development of money to the Land Hospital, taking into account the development of pay, nursing weight, and the like, that it was just so for co to know that they were working to their early postages after years of surgery and that considering, in fact, nursing weight and hospital projects, contributions to the hospital have fallen. We also see in the review of a financial body that the income of a government fund to support welfare services become the lowest in this century that binds hands and tie up the hands of a government fund when it comes to welfare services. So my question to the Chairman of the Honorable Committee is where he stands on this matter. Does she mean that income is good, the state's position is good? Would you like a distinguished chairman to mean that you don't need any more money into the health system? Does the health care providers suspect what is going on in the health system? And the Honorable Director of Fundamental Affairs considers priorities to be the highest priority. Governments is the one? That's it.
ParlaMint-IS_2022-06-13.u57	Olsen Gunnarsdóttir. Yeah. Madam President. Thank you. A senator resists. Perhaps I'd like to say first about the quality of income, the status of state funds. The reason may be that, in part, we're suggesting here, we feel that we need to increase the income of a trust fund, which is exactly what we now make in making this plan we used to right it, too, as I know it. A senator may have read and noticed, but we believe that there is a reason for us to look in other directions and point to a point that is not part of the arrangement that is being done now, but we don't think the two ministers are worth saying false, no more than I can say that those who come to our house are telling us to lie. That is why it is very important that we consider certain numbers to be better, and especially now, in my opinion, the budget. Of course, we have quite a summary from last summer's, what was collected a lot of data and variables about the hospital in particular. Because the tendency is always to talk a little bit about Land Hospital is certainly our largest organization in this area. But it's forgotten that all the other things, since we have to watch our institutions work a lot more together, and I think that there's quite a lot more to it because in 2016-2020 the number of years we're doing rights at the Land Hospital increased by about 500, by 13%, and by the time we take Kuwait in 20 of that, there's a 400-year job. However, it adds up to the use of the budget of 7%, so there's something we need to do better somewhere, and I don't think we need to go to the emergency room when we can go and be able to get at least trained to be a ministerial servant. The President would like to remind the senators to respect their deadlines.
ParlaMint-IS_2022-06-13.u58	Yes, a respectable president, this may be very interesting to hear in terms of the fact that more of the legal committees are willing to make further increases in income because the side is broken, but we will see how this will develop. I wanted to make quick use of opportunities here at the end and to draw attention to other factors that are spoken of in the greater part of the world but that are relevant to the distribution costs, and that much money is often spent on it, and that rarely the aims are noted in the context that there are goals in the financial program that will not change in the period from 78% to 85%, 2020, and 93% 2027, but we know that the financial committee is aware of the answer given, called respect from the Ministry, that there is not enough money in the project that this will not change over time so that the goal is not due to the lack of financial support. What is the position of the Honorable Director of Fundament to this position? And in view of the obvious lack of harmony with this trend, why is there no change in the opinion of the greater part?
ParlaMint-IS_2022-06-13.u59	In a minute. Yes, Mr. Honorable President, I've been talking a lot about this exact equation of distribution costs over the years, and we were together on committees, me and a distinguished vice president of a legal committee, Haraldur son of Benediktsson, in which we were discussing, including the U.S.A. This situation in which we may have to reason up here and have talked about so much, is exactly this list increase that is likely to occur when we are always paying more money to try to level it, would like to get started, which, of course, is something that we need to try to avoid doing this. Like what? A senator quotes the answer we received now, as if it were not a large amount of money that would have to be added to offset the situation, and it is the minister's examination. That's a rule change. I'm sure it doesn't need the song change at the Council, because at least I don't think what I understood, so that's where the Minister can really respond, and I think there's something that has to be done because otherwise it's just a dolphin running. We add more money and, in turn, raise the fee so that it will never get close to this equation. That'll give you an counter-respect ten.
ParlaMint-IS_2022-06-13.u60	A respectable president. I thank the Honorable Chairman of the Fundament Committee for her speech here. I am now one of those who are just a member of the council, and as a result, a rookie member of the budget is serving as an officer, because once we've been such a fairly conscientious member of the Committee and tried to help me understand and figure out what all of this is all about. I've been having a hard time handling this special assignment, which is called a budget for 5 years, and often difficult to understand how money is just set aside, and now I just felt better when I saw that one of the colleagues who was a lot of them didn't think they could read out of the budget budget, what their share would be in this financial program, that they couldn't see what they were getting to do, that this assignment they were doing. So then you hear about it. They're posting subsidies on valuables and cars and reimbursement because of film production, and you don't see the numbers up in a way that makes it seem like there's an inexpensive source of drawers or storage funds that can be made out of when the counselies seem to like. But I'm curious, and I'd like to ask. A senator's failure: Is there no other way to do this? It is now spoken of as a new action that investments can be cut down, money so many investments, which simply lie in a drawer. Then why not? paritaprevir Bjarkey Olsen knows.
ParlaMint-IS_2022-06-13.u61	Yes, Madam President, thank you. A senator resists. Yes, as I've said and we've been talking on the committee, and I think we all agree on that. We continue to argue with it, and it was fine that the Ministry of finance, which has come to us now several times, that we have, I think, or at least all our opinions, or at least the belief that we are very unhappy with this, how this should appear to us, and that it should not be that the paper on the part of the State is entirely incomprehensible or incomprehensible or at least incomprehensible. The complex fact that it takes experts to read it, and some may not, just understand it. It's not good, and I think we can work with them both on how we'd like to see it as I have before and that they're also here to join us on this project. But sometimes it is said that some sails, or ships, can be turned, and this has so slowly and progressively done in this process through the public financial law that slowly and slowly we may be moving in some way. But I think it's time for us to revise this exact form in terms of this, that we, like, what to say, make it simpler. First, it needs to be simpler. It doesn't have to be that complicated, just as the budget is repeated, the book could be twice as thin, maybe I do. I think it's at least... So we can come together for it, and I can get together just like a dog. A senator knows that, that he works in a rural government, and you're making a five-year plan, and it's not complicated. Truly, I do not intend to claim that one community can be compared to the State. But, yes, there are certain people who may be able to read something out of it. We learn only as much as we do so. But you're absolutely right. This is not good and should not be, so we need some kind of human being with us in order to try to solve them, giving an answer to the second one. Hv. paritaprevir Einarsson.
